đc;được
lun;luôn
nhìu;nhiều
nc;nước+nói chuyện
trc;trước
cũg;cũng
rùi;rồi
qán;quán
qá;quá
kiu;kêu+dễ thương
hnay;hôm nay
hok;không
nhưg;nhưng
thik;thích
pv;phục vụ+phỏng vấn+phóng viên
nhg;nhưng
ngta;người ta
oder;order
đt;điện thoại
vn;việt nam
qa;qua
bik;biết
mìh;mình
zô;vô
ntn;như thế nào
fai;phải
hn;hà nội
kh;khách hàng+không
cx;cũng
bh;bao giờ
cmt;comment
xog;xong
cn;chủ nhật
hix;huhu
cari;cà ri
hk;không+học kỳ
đn;đà nẵng
wán;quán
iu;yêu
khong;không
nvien;nhân viên
khôg;không
nge;nghe
cty;công ty
đg;đường+đang
wá;quá
bth;bình thường
dth;dễ thương
vien;viên
siu;siêu
àh;à
đ;đồng
cug;cũng
uốg;uống
fải;phải
nchung;nói chung
thíc;thích
thix;thích
quài;hoài
thich;thích
ks;khách sạn
gé;ghé
mng;mọi người
haizzz;haiz
nviên;nhân viên
trg;trong+trường
rât;rất
bthg;bình thường
thỳ;thì
đk;được+đăng ký+điều kiện
pải;phải
mik;mình
zậy;vậy
tl;trả lời
yaua;yaourt
lém;lắm
nuoc;nước
đên;đến
khach;khách
zui;vui
mak;mà
zai;trai
haizz;haiz
đag;đang
ngonnn;ngon
cac;các
coa;có
tt;tiếp tục+thanh toán
duoc;được
hjhj;hihi
uông;uống
qay;quay
thuong;thương+thường
qúa;quá
hqua;hôm qua
mềnh;mình
ùi;rồi
thí;thấy
thoy;thôi
kute;dễ thương
gê;ghê
pvu;phục vụ
mih;mình
luônnn;luôn
chời;trời
biet;biết
dược;được
gđ;gia đình
nứơc;nước
kbh;không bao giờ
đl;đà lạt
kafe;cà phê
áh;đó
kô;không
đôg;đông
nhug;nhưng
đh;đại học
dalat;đà lạt
hỉu;hiểu
thic;thích
pó;bó
coffe;cà phê
ngêu;nghêu
café;cà phê
hssv;học sinh sinh viên
kgian;không gian
roài;rồi
xl;xin lỗi
hihihi;hihi
báh;bánh
chiện;chuyện
nì;này
zé;vé
hjx;huhu
bthuong;bình thường
nhữg;những
rv;review
hùi;hồi
dú;vú
capu;capuchino
chìu;chiều
đb;đặc biệt
uk;ừ
hị;hihi
insta;instagram
miếg;miếng
nch;nói chuyện
hichic;huhu
dthg;dễ thương
đy;đi
đúg;đúng
qên;quên
òi;rồi
dzô;vô
pé;bé
haizzzz;haiz
đág;đáng
luônnnn;luôn
choa;cho
đoa;đó
hàg;hàng
sđt;số điện thoại
zị;vậy+dị
chẳg;chẳng
nướg;nướng
baoh;bao giờ
cuzng;cũng
tgian;thời gian
tq;trung quốc
caphe;cà phê
cappucino;capuchino
qtqd;quá trời quá đất
xiền;tiền
đx;được
hehehe;hihi
khg;không
nhah;nhanh
caffe;cà phê
ctrinh;chương trình
huhuhu;huhu
bufet;buffet
clb;câu lạc bộ
đườg;đường
giền;ghiền
hiuhiu;huhu
nóg;nóng
tttm;trung tâm thương mại
xún;xuống
choảnh;chảnh
hqa;hôm qua
mìk;mình
onl;online
piza;pizza
qan;quan
qtqđ;quá trời quá đất
qen;quen
vọg;vọng
cmn;con mẹ nó
cùg;cùng
giốg;giống
keke;hihi
hehee;hihi
kakaka;hihi
kp;không phải
muh;mà
thặc;thật
tìh;tình
zời;trời
bmi;bánh mì
capuccino;capuchino
lượg;lượng
miệg;miệng
nx;nói
nchug;nói chung
fim;phim
sdt;số điện thoại
thươg;thương
thườg;thường
zới;với
yaout;yaourt
àk;à
đứg;đứng
gế;ghế
nhoa;nha
tolet;toilet
trùi;trời
xg;xong
pà;bà
bgio;bao giờ+bây giờ
cfe;cà phê
ku;cu
hj;hihi
hahaha;hihi
kmai;khuyến mãi
thjk;thích
tiếg;tiếng
ze;về
ạh;ạ
pạn;bạn
potay;bó tay
dv;dịch vụ+diễn viên
zì;gì
ahihi;hihi
hiii;hihi
mjnh;mình
oimeoi;ôi mẹ ơi
fục;phục
qly;quản lý
wên;quên
chớt;trớt+chết
bằg;bằng
bc;bước
bủi;buổi
ciu;dễ thương
đj;đi
gét;ghét
ksan;khách sạn
trág;tráng
milkfoam;trà sữa
trứg;trứng
hịn;xịn
xuốg;xuống
iêu;yêu
bợn;bạn
pô;bô
tks;cảm ơn
càg;càng
cbi;chuẩn bị
hmm;hứ
kdl;khách du lịch
éo;không
hôg;không
klq;không liên quan
nthe;như thế
fần;phần
ság;sáng
thj;thì
tsua;trà sữa
yaour;yaourt
bjo;bây giờ
caffee;cà phê
côg;công
đth;điện thoại
kk;hihi
qài;hoài
hđó;hôm đó
híc;huhu
hixx;huhu
ktra;kiểm tra
lòg;lòng
pvụ;phục vụ
riêg;riêng
tầg;tầng
thgian;thời gian
milktea;trà sữa
zi;vậy+với
vk;vợ
hơm;không
kỉu;kiểu
màk;mà
ukie;ngon
phog;phong
qc;quảng cáo
gòi;rồi
sz;size
zìa;về
bnhiu;bao nhiêu
cgi;cái gì
cofee;cà phê
chak;chắc
dùg;dùng
gg;google 
luk;lúc
ngừi;nười
thý;thấy
tnao;thế nào
thuờg;thường
btw;tiện thể
tượg;tượng
vđ;vãi đái
vz;với
dzui;vui
bthường;bình thường
bôg;bông
củg;cũng
zễ;dễ
hc;học
kbg;không bao giờ
ngag;ngang
ngiu;người yêu
nvpv;nhân viên văn phòng
tíh;tính
vch;vãi đái
zẻ;vẻ
bve;bảo vệ
chj;chi
cóa;có
đìu;đều
đừg;đừng
gthieu;giới thiệu
khủg;khủng
mjh;mình
nvay;như vậy
nz;như vậy
fê;phê
rộg;rộng
trườg;trường
tưởg;tưởng
vsinh;vệ sinh
íh;ấy
độg;động
nvs;nói với
fô;phô
